Keyword,Currency,Avg. monthly searches,Thay ??i trong ba tháng,Thay ??i so v?i cùng k? n?m tr??c,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
nuoc hoa charme so sexy,VND,140,-21%,-21%,Cao,96,693,1291,,,,,,170,210,260,140,110,110,110,140,90,140,140,110
nuoc hoa chicco,VND,10,100%,100%,Cao,100,,,,,,,,10,20,10,10,10,10,10,20,10,10,10,20
nuoc hoa chloe love,VND,10,0%,0%,Cao,100,,,,,,,,0,0,0,10,10,0,10,10,0,10,10,10
nuoc hoa cho nam,VND,50,0%,-29%,Cao,100,412,2093,,,,,,70,90,50,50,40,50,40,30,40,50,50,50
nuoc hoa cho nu,VND,20,0%,0%,Cao,100,283,3545,,,,,,20,40,20,10,20,20,20,10,20,20,20,20
nuoc hoa cho n?,VND,480,-33%,-19%,Cao,100,526,2608,,,,,,480,720,590,390,390,390,390,390,390,720,480,480
nuoc hoa chrome,VND,10,0%,-50%,Cao,86,,,,,,,,20,10,20,20,10,10,10,10,10,10,10,10
nuoc hoa cindy bloom,VND,10,0%,0%,Cao,100,,,,,,,,10,30,30,10,10,10,10,10,10,10,10,10
nuoc hoa cindy n?,VND,10,0%,-67%,Cao,100,,,,,,,,30,30,30,20,10,10,10,10,10,10,10,10
nuoc hoa ck nu,VND,10,-50%,-50%,Cao,100,,,,,,,,20,20,10,20,10,10,10,10,10,20,10,10
nuoc hoa ck n?,VND,880,-18%,-28%,Cao,100,452,2109,,,,,,880,1000,1000,720,720,720,720,880,720,880,590,720
nuoc hoa co be,VND,30,0%,-57%,Cao,100,231,3472,,,,,,50,40,30,40,20,20,30,20,20,30,20,30
nuoc hoa co co,VND,10,0%,0%,Cao,100,,,,,,,,10,20,40,10,10,10,10,20,20,10,10,10
nuoc hoa coach dreams,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,0,10,10,10,10,10,10
nuoc hoa cr7,VND,30,200%,0%,Cao,89,,,,,,,,40,40,50,20,10,10,30,30,20,10,40,30
nuoc hoa cua my,VND,90,-22%,-50%,Cao,99,144,2976,,,,,,140,110,90,90,70,70,50,90,90,90,70,70
nuoc hoa d&g light blue 100ml,VND,20,100%,-33%,Cao,100,,,,,,,,30,50,20,20,10,10,20,20,30,10,20,20
nuoc hoa daisy,VND,90,-50%,-22%,Cao,100,184,1856,,,,,,110,140,140,110,90,90,90,90,50,140,90,70
nuoc hoa daisy dream,VND,10,0%,0%,Cao,100,,,,,,,,10,20,10,10,10,10,10,10,10,10,10,10
nuoc hoa daisy love,VND,10,0%,0%,Cao,100,,,,,,,,10,20,30,10,10,20,10,10,20,10,10,10
nuoc hoa daisy marc jacobs,VND,590,0%,0%,Cao,100,297,1679,,,,,,590,720,880,480,480,480,390,590,590,720,590,720
nuoc hoa danh cho nam,VND,10,0%,0%,Cao,100,461,1289,,,,,,20,10,10,10,10,10,10,10,10,10,10,10
nuoc hoa danh cho nu,VND,10,0%,0%,Cao,90,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
nuoc hoa dau lau,VND,20,-50%,-75%,Cao,86,,,,,,,,30,30,20,10,10,30,30,20,10,20,10,10
nuoc hoa delina,VND,260,23%,-33%,Cao,100,314,2045,,,,,,260,390,390,320,210,170,210,170,260,260,260,320
nuoc hoa diamond elizabeth taylor,VND,10,0%,0%,Trung bình,57,,,,,,,,0,10,10,10,0,10,10,10,10,10,0,10
nuoc hoa dior j adore infinissime,VND,0,0%,-100%,Không xác ??nh,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
nuoc hoa dior jadore,VND,170,0%,0%,Cao,100,382,3735,,,,,,210,170,170,110,170,170,140,170,210,210,170,210
nuoc hoa dior joy,VND,10,0%,-50%,Cao,100,,,,,,,,10,10,20,20,20,10,10,10,20,10,10,10
nuoc hoa dior nu,VND,30,0%,-33%,Cao,99,588,1435,,,,,,30,30,30,20,30,10,30,20,20,20,30,20
nuoc hoa dior n?,VND,1900,-33%,-33%,Cao,100,424,2194,,,,,,1900,2400,2400,1600,1600,1600,1900,1900,1900,2400,1600,1600
nuoc hoa dkny,VND,30,-50%,-60%,Cao,100,,,,,,,,40,40,50,30,30,30,20,40,20,40,20,20
nuoc hoa dkny be delicious 100ml,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,0,10,10,10,10,10,10,10
nuoc hoa dolce gabbana light blue,VND,50,-82%,-78%,Cao,100,685,1814,,,,,,70,70,50,50,70,30,30,40,70,110,20,20
nuoc hoa dolce gabbana light blue nu,VND,30,250%,250%,Cao,100,327,1533,,,,,,20,20,30,40,20,50,40,20,20,20,30,70
nuoc hoa dolce gabbana nu,VND,10,0%,0%,Cao,100,,,,,,,,0,0,10,10,10,10,0,10,10,10,10,10
nuoc hoa donnakaran,VND,10,0%,0%,Trung bình,52,,,,,,,,20,20,20,20,20,10,20,10,10,10,10,10
nuoc hoa dorsitan,VND,10,-100%,0%,Không xác ??nh,,,,,,,,,10,0,0,0,0,0,10,0,0,10,0,0
nuoc hoa eclat,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
nuoc hoa edp,VND,20,100%,-33%,Cao,97,180,543,,,,,,30,30,20,10,20,30,10,30,20,10,20,20
nuoc hoa eki,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
nuoc hoa elizabeth arden gia bao nhieu,VND,30,0%,-20%,Cao,100,330,2412,,,,,,20,40,20,10,10,10,50,30,30,40,50,40
nuoc hoa fantasy,VND,20,-67%,-75%,Cao,100,,,,,,,,20,20,10,10,20,30,20,20,10,30,10,10
nuoc hoa fleur paris noir,VND,10,0%,0%,Cao,86,,,,,,,,10,10,10,10,10,0,0,0,0,10,10,10
nuoc hoa for her,VND,140,-18%,-18%,Cao,100,853,2278,,,,,,170,170,210,110,140,110,110,140,170,170,140,140
nuoc hoa gio cua nu,VND,10,-100%,-100%,Không xác ??nh,,,,,,,,,10,10,10,10,20,0,10,10,10,10,0,0
nuoc hoa gio den,VND,20,100%,-33%,Cao,97,,,,,,,,30,40,20,10,30,20,10,10,10,10,10,20
nuoc hoa gio nam,VND,20,50%,0%,Cao,100,548,2290,,,,,,30,20,30,10,20,30,20,10,20,20,20,30
nuoc hoa giordani,VND,20,0%,0%,Cao,100,,,,,,,,10,20,20,10,20,40,30,20,20,10,10,10
nuoc hoa givenchy,VND,50,-29%,-44%,Cao,100,154,1306,,,,,,70,70,70,50,50,40,30,50,40,70,40,50
nuoc hoa gucci flora n?,VND,10,0%,-75%,Cao,100,,,,,,,,40,20,20,10,10,20,10,10,10,10,10,10
nuoc hoa gucci guilty,VND,30,-33%,-33%,Cao,91,,,,,,,,40,70,30,30,20,20,20,30,20,30,30,20
nuoc hoa gucci nu,VND,20,-50%,-50%,Cao,100,,,,,,,,10,10,20,20,10,20,30,10,10,20,20,10
nuoc hoa gucci n?,VND,20,0%,-75%,Cao,100,415,2293,,,,,,30,40,10,20,10,10,10,20,10,10,10,10
nuoc hoa guerlain,VND,70,0%,125%,Cao,100,174,1485,,,,,,50,50,70,70,70,40,70,50,70,90,70,90
nuoc hoa guôc ?en,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,0,10,10,10,10,10,10,10
nuoc hoa hang hieu,VND,20,0%,0%,Cao,100,907,4474,,,,,,10,20,10,30,30,10,10,20,20,20,10,20
nuoc hoa hermes twilly d hermes,VND,40,-20%,100%,Cao,100,368,3135,,,,,,10,20,30,30,40,40,40,40,40,50,40,40
nuoc hoa hero,VND,20,100%,0%,Cao,100,,,,,,,,20,20,10,10,10,20,30,30,20,10,20,20
nuoc hoa hm,VND,260,0%,0%,Cao,100,236,1679,,,,,,210,260,260,260,210,170,210,260,210,260,320,260
nuoc hoa hugo boss,VND,50,25%,-55%,Cao,100,244,2417,,,,,,50,50,50,50,50,40,40,50,50,40,50,50
nuoc hoa hugo boss man 125ml,VND,10,0%,0%,Không xác ??nh,,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0
nuoc hoa hugo boss nam,VND,10,0%,0%,Cao,86,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
nuoc hoa hugo boss nu,VND,10,-100%,0%,Không xác ??nh,,,,,,,,,10,10,0,10,0,10,10,0,10,10,10,0
nuoc hoa hypnôse,VND,50,40%,-22%,Cao,99,741,4237,,,,,,90,70,70,70,50,30,20,70,50,50,20,70
nuoc hoa idole,VND,20,50%,0%,Cao,99,310,2782,,,,,,20,40,30,10,20,30,20,20,20,20,20,30
nuoc hoa idole 100ml,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
nuoc hoa izzi,VND,20,0%,-67%,Trung bình,49,,,,,,,,10,20,30,10,20,20,30,30,20,10,20,10
nuoc hoa j adore dior,VND,110,-82%,-57%,Cao,96,753,5492,,,,,,50,90,140,90,110,140,110,90,140,170,110,30
nuoc hoa jadore 100ml gia bao nhieu,VND,10,-100%,0%,Không xác ??nh,,,,,,,,,10,10,0,0,0,0,0,10,10,10,10,0
nuoc hoa jc,VND,10,0%,-67%,Cao,100,114,1664,,,,,,20,20,10,10,10,10,10,10,20,10,10,10
nuoc hoa jean paul gaultier,VND,320,22%,22%,Cao,100,291,1679,,,,,,320,320,390,320,320,210,210,320,320,320,320,390
nuoc hoa joy,VND,10,0%,-67%,Cao,95,,,,,,,,20,10,30,10,10,10,30,10,10,10,10,10
nuoc hoa karri,VND,10,0%,0%,Cao,75,,,,,,,,10,20,20,10,0,10,10,10,10,10,10,10
nuoc hoa kenneth cole,VND,20,100%,100%,Cao,85,,,,,,,,20,20,20,30,20,20,30,30,10,20,30,40
nuoc hoa kenzo,VND,70,-20%,-64%,Cao,99,2302,17188,,,,,,70,70,110,50,50,50,50,70,90,50,70,40
nuoc hoa kenzo flower edp,VND,10,0%,0%,Cao,83,,,,,,,,10,0,10,10,10,10,10,10,10,10,0,10
nuoc hoa kich,VND,70,-25%,-67%,Cao,100,3299,6930,,,,,,210,90,50,50,70,90,70,50,50,40,40,30
nuoc hoa kich thich,VND,20,0%,-50%,Cao,100,3290,8082,,,,,,140,20,10,10,10,20,0,10,10,10,20,10
nuoc hoa kich thich ham muon,VND,10,0%,0%,Cao,86,,,,,,,,0,10,10,20,10,10,10,10,10,10,10,10
nuoc hoa kich thich phu nu,VND,10,-100%,-100%,Không xác ??nh,,,,,,,,,0,0,10,0,0,10,0,0,0,10,10,0
nuoc hoa king,VND,90,-22%,-36%,Cao,100,1287,2013,,,,,,170,140,110,90,110,90,90,90,70,90,90,70
nuoc hoa lacoste,VND,90,0%,-18%,Cao,100,339,2619,,,,,,140,90,50,50,90,70,110,110,110,90,90,90
nuoc hoa lancome 75ml giá bn,VND,20,0%,0%,Cao,100,894,2859,,,,,,30,30,20,10,10,50,30,10,20,10,10,10
nuoc hoa lancome miracle 100ml gia bao nhieu,VND,50,-55%,400%,Cao,100,423,2859,,,,,,10,10,30,10,20,50,50,70,90,110,90,50
nuoc hoa lancome miracle 50ml gia bao nhieu,VND,10,-100%,0%,Không xác ??nh,,,,,,,,,10,10,10,10,10,0,10,0,10,10,10,0
nuoc hoa lanvin,VND,30,25%,67%,Cao,100,282,1307,,,,,,30,30,30,30,30,30,40,20,30,40,20,50
nuoc hoa lanvin eclat,VND,10,0%,-100%,Không xác ??nh,,,,,,,,,0,0,10,10,0,10,0,10,0,0,10,0
nuoc hoa laurelle parfums,VND,10,0%,-100%,Không xác ??nh,,,,,,,,,0,0,10,0,0,10,0,0,0,0,0,0
nuoc hoa lavie,VND,20,0%,50%,Cao,99,535,3559,,,,,,10,20,30,10,20,10,20,10,20,30,20,30
nuoc hoa le labo 13,VND,90,-59%,-59%,Cao,100,293,2093,,,,,,90,90,90,70,110,70,90,70,70,170,170,70
nuoc hoa le labo 22,VND,10,0%,0%,Th?p,0,,,,,,,,10,0,10,10,10,10,10,20,10,10,10,10
nuoc hoa le labo 31,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,20,10,20,10,10,10
nuoc hoa le labo 33,VND,30,0%,-67%,Cao,100,161,649,,,,,,40,70,40,20,20,20,50,30,20,30,20,30
nuoc hoa le labo santal 33,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,0,0,10,10,10,10,10,10,10
nuoc hoa love potion cua oriflame,VND,10,0%,-100%,Không xác ??nh,,,,,,,,,10,10,0,0,0,0,0,0,0,0,0,0
nuoc hoa lovely,VND,20,100%,0%,Cao,99,,,,,,,,40,20,20,30,10,30,10,20,20,10,10,20
nuoc hoa man,VND,20,0%,-67%,Cao,100,,,,,,,,30,20,20,30,10,20,20,10,20,10,20,10
nuoc hoa mancera,VND,30,-33%,-50%,Cao,100,225,1746,,,,,,50,20,30,30,40,10,30,20,40,30,50,20
nuoc hoa marc jacob tui xach,VND,10,0%,0%,Cao,100,,,,,,,,10,0,10,10,0,10,10,10,10,10,10,10
nuoc hoa mcm,VND,170,-18%,-33%,Cao,100,449,3453,,,,,,140,170,210,140,170,140,210,170,170,170,140,140
nuoc hoa midnight,VND,20,0%,0%,Cao,100,,,,,,,,40,20,30,30,20,20,10,10,10,10,10,10
nuoc hoa million,VND,320,24%,-46%,Cao,100,508,2055,,,,,,480,390,320,260,260,260,320,320,260,210,260,260
nuoc hoa miracle lancome 30ml,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,0,10,10,10,0,10,10,10
nuoc hoa miss dior,VND,110,-21%,-58%,Cao,100,341,1737,,,,,,170,210,170,110,110,70,140,70,90,140,110,110
nuoc hoa miss dior blooming bouquet,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,0,10,10,10,10
nuoc hoa missi,VND,20,-33%,0%,Cao,90,1714,10210,,,,,,40,30,30,20,20,30,10,20,10,30,30,20
nuoc hoa moschino,VND,70,-44%,-44%,Cao,100,444,1995,,,,,,50,90,70,50,50,70,90,110,70,90,70,50
nuoc hoa mua he,VND,10,0%,0%,Cao,100,,,,,,,,10,10,20,30,20,30,10,10,10,10,10,10
nuoc hoa my,VND,90,-22%,-50%,Cao,96,538,4353,,,,,,90,140,110,70,90,70,70,70,70,90,70,70
nuoc hoa my way,VND,1600,-19%,-19%,Cao,100,401,2452,,,,,,1600,1900,2400,1300,1300,1300,1300,1600,1600,1600,1600,1300
nuoc hoa na,VND,50,0%,-29%,Cao,100,525,1508,,,,,,70,70,90,50,50,40,50,50,50,50,40,50
nuoc hoa nam hang hieu,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,0,10,10,10
nuoc hoa nam hugo boss,VND,10,0%,0%,Cao,100,378,2976,,,,,,10,10,10,10,10,10,0,10,10,10,10,10
nuoc hoa nam polo,VND,10,100%,100%,Cao,100,,,,,,,,10,30,10,10,10,10,10,10,10,10,10,20
nuoc hoa nautica voyage,VND,10,0%,0%,Cao,100,482,7829,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
nuoc hoa ngoc trinh,VND,10,100%,100%,Cao,100,,,,,,,,10,10,20,10,10,10,10,10,10,10,10,20
nuoc hoa niche,VND,1000,0%,-58%,Cao,88,150,3235,,,,,,1900,1300,1300,1000,880,1000,880,880,880,1000,1000,1000
nuoc hoa noi tieng,VND,20,100%,-33%,Cao,100,187,2208,,,,,,20,20,40,10,10,10,10,20,10,10,20,20
nuoc hoa nu cao cap,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
nuoc hoa nu chanel,VND,10,0%,0%,Cao,93,561,39641,,,,,,20,20,10,10,10,10,10,10,10,10,10,10
nuoc hoa nu chinh hang,VND,70,-50%,-88%,Cao,100,1148,4119,,,,,,110,140,170,30,70,70,70,30,30,40,20,20
nuoc hoa nu gucci,VND,10,-50%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,20,10,10
nuoc hoa nu hang hieu,VND,10,?,?,Cao,100,,,,,,,,0,0,0,0,0,0,10,10,0,0,10,10
nuoc hoa nu lancome,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,0,0,10,10,10,10,10,10
nuoc hoa nu montblanc,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,0,10,10,10,10,0,10,10,10
nuoc hoa nu thom,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
nuoc hoa nua,VND,14800,0%,0%,Trung bình,62,1090,5767,,,,,,14800,22200,22200,14800,12100,12100,14800,14800,12100,14800,14800,14800
nuoc hoa omnia,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,20,10
nuoc hoa oriflame,VND,880,22%,-28%,Cao,100,424,1968,,,,,,880,880,1900,880,1000,720,720,720,590,590,720,720
nuoc hoa poeme 100ml gia bao nhieu,VND,10,0%,-50%,Cao,100,,,,,,,,20,10,10,10,10,0,10,0,10,10,10,10
nuoc hoa pure xs,VND,390,-19%,-34%,Cao,97,343,2332,,,,,,480,480,480,320,320,260,260,320,320,480,390,390
nuoc hoa queen,VND,390,-46%,-56%,Cao,100,1288,1884,,,,,,390,480,590,320,320,320,320,320,260,480,320,260
nuoc hoa santal 33,VND,20,-33%,-50%,Cao,100,551,2324,,,,,,40,30,30,30,20,30,30,20,10,30,20,20
nuoc hoa sap,VND,20,0%,0%,Cao,100,,,,,,,,10,30,20,20,10,10,10,10,10,10,20,10
nuoc hoa signorina,VND,40,-40%,-67%,Cao,100,1679,4639,,,,,,70,40,50,30,50,30,30,40,50,50,40,30
nuoc hoa signorina 100ml gia bao nhieu,VND,10,-100%,-100%,Không xác ??nh,,,,,,,,,20,10,0,10,10,10,10,10,10,10,10,0
nuoc hoa so scandal,VND,20,-67%,-67%,Cao,100,,,,,,,,30,30,20,20,20,10,30,10,30,30,20,10
nuoc hoa so sexy,VND,30,-50%,-50%,Cao,100,,,,,,,,40,30,40,30,30,20,20,50,20,40,30,20
nuoc hoa stradivarius,VND,10,-100%,0%,Không xác ??nh,,,,,,,,,10,10,10,0,10,0,0,0,0,10,0,0
nuoc hoa sì,VND,70,-22%,-50%,Cao,100,125,2415,,,,,,70,90,140,70,50,50,70,90,70,90,50,70
nuoc hoa sì 100ml,VND,10,-100%,0%,Không xác ??nh,,,,,,,,,10,10,10,0,0,0,0,0,0,10,0,0
nuoc hoa sì ??,VND,10,50%,200%,Cao,94,,,,,,,,10,10,20,20,10,10,10,10,10,20,10,30
nuoc hoa the one,VND,320,50%,23%,Cao,98,320,2238,,,,,,480,480,590,320,210,140,170,210,260,320,480,480
nuoc hoa thom lau,VND,20,-50%,0%,Cao,100,147,1508,,,,,,10,20,10,30,20,10,20,10,10,20,20,10
nuoc hoa tommy,VND,1000,14%,0%,Cao,100,281,1814,,,,,,1000,1300,1300,880,880,880,880,880,880,880,880,1000
nuoc hoa tresor,VND,20,-67%,-50%,Cao,98,1295,4326,,,,,,20,30,20,10,10,10,10,10,20,30,10,10
nuoc hoa trussardi 100ml,VND,20,100%,-33%,Cao,100,,,,,,,,30,40,20,20,10,20,20,10,10,10,10,20
nuoc hoa unisex,VND,30,50%,0%,Cao,86,176,1679,,,,,,30,30,20,20,30,40,30,40,20,20,10,30
nuoc hoa uomo,VND,20,-67%,-50%,Cao,100,,,,,,,,10,10,10,10,10,20,20,20,10,30,20,10
nuoc hoa valentina,VND,90,-36%,40%,Cao,100,237,1440,,,,,,50,140,50,40,70,210,50,50,70,110,70,70
nuoc hoa ventana,VND,10,0%,-50%,Cao,99,242,2085,,,,,,20,20,20,10,10,10,10,10,10,10,20,10
nuoc hoa versace bright crystal 90ml,VND,50,-20%,-56%,Cao,99,1152,2977,,,,,,50,90,90,50,50,50,30,50,30,50,40,40
nuoc hoa versace pour homme,VND,20,0%,0%,Cao,100,,,,,,,,10,30,30,10,10,10,20,30,10,10,10,10
nuoc hoa very sery 7ml,VND,10,?,0%,Cao,100,,,,,,,,0,10,10,10,0,0,0,10,0,0,0,10
nuoc hoa viet,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
nuoc hoa viet nam,VND,30,0%,-25%,Cao,85,555,8526,,,,,,20,20,50,30,20,30,30,40,10,30,20,30
nuoc hoa vietnam,VND,10,0%,0%,Cao,67,,,,,,,,20,10,10,10,10,10,10,10,10,10,10,10
nuoc hoa white diamond 100ml,VND,50,-25%,-57%,Cao,100,,,,,,,,70,90,70,50,50,30,30,30,30,40,30,30
nuoc hoa white diamonds 100ml gia bao nhieu,VND,10,?,?,Trung bình,53,,,,,,,,0,0,10,0,0,0,10,0,0,0,10,10
nuoc hoa wood,VND,20,100%,0%,Cao,100,,,,,,,,30,50,20,30,10,10,10,10,10,10,20,20
nuoc hoa xs,VND,30,25%,67%,Cao,100,,,,,,,,40,50,30,30,30,20,30,30,30,40,30,50
nuoc hoa ysl nu,VND,30,67%,67%,Cao,100,342,2518,,,,,,20,20,20,20,20,20,30,20,20,30,30,50
nuoc hoa ysl n?,VND,50,0%,-29%,Cao,100,362,1424,,,,,,70,70,50,40,40,40,40,30,40,50,40,50
nuoc hoa zara nam,VND,590,0%,-33%,Cao,100,1827,13048,,,,,,880,880,720,480,480,590,590,480,390,590,590,590
nuochoahanghieu,VND,10,0%,0%,Cao,93,3516,4771,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
nuwowcs hoa n?,VND,14800,0%,0%,Trung bình,62,1090,5767,,,,,,14800,22200,22200,14800,12100,12100,14800,14800,12100,14800,14800,14800
nuóc hoa le labo,VND,110,-36%,-65%,Cao,99,142,1104,,,,,,170,210,170,110,110,70,90,90,90,140,110,90
n??c hoa chanel,VND,880,0%,-32%,Cao,100,396,7012,,,,,,1300,1000,880,720,720,720,720,720,880,880,880,880
n??c hoa le labo 33,VND,20,0%,-33%,Cao,95,218,7305,,,,,,10,20,40,20,20,10,10,10,10,20,20,20
n??c hoa polo,VND,1000,0%,-23%,Cao,100,271,2091,,,,,,1300,1300,1000,880,880,880,880,880,880,1000,880,1000
n??c hoa 007,VND,20,0%,0%,Trung bình,43,,,,,,,,10,40,30,20,10,40,20,10,10,20,10,20
n??c hoa 007 n?,VND,10,0%,0%,Trung bình,64,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa 1 million n?,VND,10,0%,0%,Cao,100,,,,,,,,10,10,20,10,10,10,10,10,0,10,10,10
n??c hoa 1 tri?u,VND,20,0%,-25%,Cao,100,318,1633,,,,,,30,30,40,20,20,20,20,20,10,30,20,30
n??c hoa 1821,VND,10,0%,-50%,Cao,89,,,,,,,,10,40,10,10,10,10,10,10,10,10,10,10
n??c hoa 2 con r?n,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa 212 nyc n?,VND,20,0%,100%,Cao,100,,,,,,,,20,20,30,10,10,10,10,20,10,20,20,20
n??c hoa 212 n? chính hãng,VND,20,0%,0%,Cao,100,621,2864,,,,,,10,10,20,30,20,20,10,10,10,20,20,20
n??c hoa 212 n? mini,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,0,10,0,10,10,10,0,10
n??c hoa 212 n? vàng,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,0,10,0,10,10,10,10,0,10
n??c hoa 212 sexy n?,VND,10,0%,-50%,Trung bình,50,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
n??c hoa 212 vip carolina herrera,VND,10,0%,0%,Cao,100,,,,,,,,10,10,10,10,10,10,10,10,10,10,0,10
n??c hoa 212 vip n?,VND,40,50%,0%,Cao,97,,,,,,,,30,30,50,30,30,30,40,20,70,20,50,30
n??c hoa 212 vip n? mini,VND,0,0%,0%,Không xác ??nh,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
n??c hoa 5th avenue,VND,20,0%,-60%,Cao,100,163,2585,,,,,,40,30,30,20,10,20,30,10,30,20,10,20
n??c hoa 68,VND,10,0%,-50%,Cao,90,740,4377,,,,,,10,10,20,10,10,10,20,10,10,10,20,10
n??c hoa 69 n?,VND,10,0%,0%,Cao,97,,,,,,,,10,10,10,0,10,10,10,30,10,10,10,10
n??c hoa 777,VND,50,75%,40%,Cao,93,,,,,,,,50,50,70,50,50,50,40,70,40,40,40,70
n??c hoa 9am n?,VND,30,-50%,-60%,Cao,100,547,1815,,,,,,50,50,40,40,40,20,20,20,20,40,20,20
n??c hoa 9pm n?,VND,70,-29%,-55%,Cao,97,873,2411,,,,,,70,90,140,90,70,50,40,50,50,70,50,50
n??c hoa abercrombie,VND,30,0%,-57%,Cao,100,,,,,,,,40,30,30,50,10,30,20,40,30,30,70,30
n??c hoa abercrombie & fitch n?,VND,50,57%,22%,Cao,99,,,,,,,,70,40,50,30,30,30,30,50,50,70,70,110
n??c hoa abercrombie & fitch n? 30ml,VND,20,300%,100%,Cao,100,,,,,,,,20,20,10,20,20,10,10,10,10,10,10,40
n??c hoa acqua di gio armani,VND,30,-75%,-80%,Cao,100,,,,,,,,10,10,10,20,70,50,10,10,30,40,20,10
n??c hoa acqua di gio n?,VND,110,-55%,-71%,Cao,100,398,2316,,,,,,170,140,170,90,90,70,70,110,110,110,50,50
n??c hoa acqua di gio profondo,VND,30,80%,350%,Cao,100,751,2410,,,,,,30,20,20,20,10,10,20,30,20,50,70,90
n??c hoa acqua di gio profumo,VND,10,0%,-50%,Cao,98,,,,,,,,30,20,10,10,10,20,10,10,10,10,10,10
n??c hoa acqua gio n?,VND,10,0%,0%,Cao,75,,,,,,,,10,10,10,10,10,10,10,10,10,10,0,10
n??c hoa adidas champions league,VND,20,100%,-50%,Cao,100,,,,,,,,20,20,20,20,30,20,30,30,30,10,20,20
n??c hoa adidas chính hãng giá bao nhi?u,VND,10,0%,-75%,Cao,100,,,,,,,,20,10,30,30,10,10,10,10,10,10,10,10
n??c hoa adidas ice dive,VND,30,0%,0%,Cao,100,2093,8452,,,,,,50,30,70,30,50,20,20,30,20,30,10,30
n??c hoa adidas n?,VND,40,0%,-57%,Cao,97,2354,6044,,,,,,70,90,70,50,30,40,40,30,20,30,30,30
n??c hoa adidas xách tay,VND,10,-50%,-50%,Cao,100,,,,,,,,20,20,10,10,10,10,20,10,10,20,10,10
n??c hoa adopt n?,VND,30,-67%,-75%,Cao,100,,,,,,,,30,30,70,30,30,10,20,20,20,30,20,10
n??c hoa adventure,VND,30,0%,-60%,Cao,98,,,,,,,,30,10,30,30,40,30,30,20,20,20,40,20
n??c hoa aeon mall h?i phòng,VND,30,0%,-50%,Cao,86,,,,,,,,40,40,30,20,20,30,10,40,20,20,20,20
n??c hoa aerin,VND,50,25%,-55%,Cao,94,,,,,,,,70,50,90,40,30,40,20,40,40,40,50,50
n??c hoa aigner,VND,90,-22%,-22%,Cao,100,,,,,,,,140,90,110,70,50,70,70,90,50,90,40,70
n??c hoa aisxd,VND,10,-100%,-100%,Không xác ??nh,,,,,,,,,10,10,10,10,10,10,10,0,10,10,10,0
n??c hoa al haramain,VND,30,150%,67%,Cao,97,,,,,,,,40,40,20,30,30,20,30,10,20,20,20,50
n??c hoa alaia blanche,VND,10,0%,0%,Th?p,0,,,,,,,,10,10,10,10,0,10,0,10,10,10,10,10
n??c hoa alaia paris,VND,20,0%,100%,Cao,87,,,,,,,,10,20,30,20,10,10,20,20,20,20,20,20
n??c hoa alien 30ml,VND,10,0%,0%,Cao,100,,,,,,,,10,10,30,10,10,10,10,10,10,10,10,10
